CATALOG #,Group,Sex,GOL,XCB,BBH,XFB,STB,ASB,FOL,BNL,BPL,ZYB,UFHT,NLH,NLW,OBB,OBH,MAB
1858,ARIKARA,F,178,147,125,115,105,118,37,95,93,135,65,48,24,41,38,55
1859,ARIKARA,F,167,128,120,108,103,101,34,98,97,122,62,47,25,37,33,59
1860,ARIKARA,F,170,132,133,109,107,95,32,104,95,130,70,51,27,40,32,61
1861,ARIKARA,F,163,126,135,105,101,100,35,103,101,126,71,50,23,38,33,64
1862,ARIKARA,F,165,128,124,110,103,105,37,100,91,127,60,46,24,39,33,59
1863,ARIKARA,F,166,140,124,122,117,108,37,94,96,130,70,50,26,41,35,61
1864,ARIKARA,F,170,143,123,113,108,104,32,97,96,135,68,53,28,39,32,66
1796,ARIKARA,M,178,140,131,112,107,116,39,101,101,133,71,52,24,38,34,65
1797,ARIKARA,M,172,136,131,114,103,107,36,103,102,140,71,53,26,41,34,65
1798,ARIKARA,M,188,137,130,113,103,112,37,103,96,140,69,54,25,41,33,64
1799,ARIKARA,M,180,144,133,117,107,110,39,103,92,145,72,54,26,41,35,67
1800,ARIKARA,M,182,135,134,115,108,106,42,104,98,141,75,55,29,40,34,67
1801,ARIKARA,M,186,143,131,116,101,107,38,105,101,139,76,56,27,40,37,65
1802,ARIKARA,M,176,141,127,121,118,103,42,100,97,140,70,55,29,40,34,66
1803,ARIKARA,M,173,141,134,115,108,105,36,101,98,138,71,54,25,39,33,66
1804,ARIKARA,M,185,147,141,120,113,112,41,110,106,143,80,61,31,42,37,68
1805,ARIKARA,M,175,152,136,123,116,113,35,107,98,147,74,58,28,42,37,70
1806,ARIKARA,M,175,153,138,128,125,120,39,102,98,151,79,56,26,41,36,69
1807,ARIKARA,M,176,139,132,117,111,102,36,105,99,139,71,55,27,41,37,64
1808,ARIKARA,M,177,142,132,113,99,109,35,105,105,146,71,55,26,40,32,65
1809,ARIKARA,M,189,148,135,122,116,110,37,104,101,146,77,55,30,42,36,68
1810,ARIKARA,M,181,146,136,118,113,109,37,106,106,150,72,56,29,40,36,70
1811,ARIKARA,M,167,139,132,119,113,105,34,103,97,138,66,52,26,42,34,62
1812,ARIKARA,M,182,133,134,113,101,105,39,105,102,141,73,56,28,40,34,63
1813,ARIKARA,M,175,139,133,113,99,106,39,102,95,138,69,55,27,40,35,61
1814,ARIKARA,M,177,147,132,121,109,109,39,102,99,142,72,55,27,39,36,70
1815,ARIKARA,M,184,143,134,111,107,103,39,98,97,139,65,50,27,40,36,69
1816,ARIKARA,M,178,141,136,117,102,118,40,103,92,140,70,56,29,40,36,72
1817,ARIKARA,M,176,141,141,119,110,113,37,98,96,137,70,56,27,40,38,65
1818,ARIKARA,M,174,131,135,113,100,105,37,104,96,133,66,51,27,40,33,65
1819,ARIKARA,M,189,134,139,109,95,108,35,106,99,138,67,52,30,40,29,67
1820,ARIKARA,M,177,144,137,113,111,106,35,104,96,136,73,55,27,40,36,66
1821,ARIKARA,M,182,142,129,119,112,112,37,100,96,143,73,54,30,42,37,67
1822,ARIKARA,M,186,147,138,125,117,117,36,109,105,146,79,58,27,41,35,67
1823,ARIKARA,M,173,138,127,111,106,104,33,97,96,126,63,47,27,41,35,68
1824,ARIKARA,M,175,137,131,113,109,108,38,101,101,135,76,55,28,40,36,63
1825,ARIKARA,M,190,150,141,123,121,119,40,104,96,151,69,52,28,42,33,64
1826,ARIKARA,M,175,142,131,117,112,111,38,101,99,144,67,52,26,39,35,63
1827,ARIKARA,M,188,140,134,118,114,115,40,103,104,144,75,55,29,43,36,73
1828,ARIKARA,M,175,148,132,120,112,108,33,98,89,146,76,58,27,43,36,74
1829,ARIKARA,M,185,141,137,118,109,117,41,105,99,146,75,59,25,42,37,68
1830,ARIKARA,M,178,138,127,114,111,105,38,97,92,135,71,53,25,41,37,66
1831,ARIKARA,M,175,140,122,111,91,107,39,100,103,138,70,55,29,39,32,68
